,LFQ_intensity_AF_B_16,LFQ_intensity_AF_B_17,LFQ_intensity_AF_B_18,LFQ_intensity_AF_B_19,LFQ_intensity_AF_W_11,LFQ_intensity_AF_W_12,LFQ_intensity_AF_W_13,LFQ_intensity_AF_W_14,water_mean,bion_mean,p_value,p_value_uncorrected_significance,manual_bonferroni_corrected_significance,difference_log2,bonferroni_corrected,sidak_corrected,fdr_bh_corrected,bonferroni_corrected_pvalue,sidak_corrected_pvalue,fdr_bh_corrected_pvalue
NP_001233775.1,28.738615662132467,28.748287659309625,28.096075919707335,27.680139523218102,28.505415130311167,28.75176183094678,29.3946777299837,29.098660591583542,28.937628820706298,28.315779691091883,0.10887809150244035,FALSE,,-0.6218491296144144,False,False,False,1.0,1.0,0.4414296535914158
XP_019069688.1;NP_001233800.2,27.46789533020651,0.0,27.145660008081784,28.132980104055036,0.0,0.0,27.854479737788537,27.90534510592099,27.879912421854762,27.58217848078111,0.41351771093853873,FALSE,,-0.2977339410736519,False,False,False,1.0,1.0,0.8521663324866019
NP_001233812.2,30.303370942401592,29.626126417459332,29.632760373628948,30.21525998407369,29.49300973183263,27.76578161139439,28.070227487234508,28.908628193074744,28.559411755884067,29.944379429390892,0.030693730179328384,TRUE,,1.384967673506825,False,False,False,1.0,0.9999910882873271,0.2074505566809608
NP_001233838.1;NP_001310512.1,26.375378864445377,25.380178422094136,0.0,0.0,25.485411520633118,24.25015682874056,25.994306214371186,25.397882728931055,25.28193932316898,25.877778643269757,0.4301585919434362,FALSE,,0.5958393201007759,False,False,False,1.0,1.0,0.8626298644887188
NP_001233858.1,27.355576804028065,27.436299527037004,27.235293672228295,27.4449115400627,28.37640195124402,27.603815006018245,27.9478522556567,28.239233175339518,28.04182559706462,27.368020385839017,0.024845512803586767,TRUE,,-0.6738052112256021,False,False,False,1.0,0.9999159791692077,0.18913012807628293
NP_001233884.2,29.92808064239559,28.433971545868847,27.39950590111314,28.174777191346383,33.03733024805644,27.304748611754754,28.724058446000594,28.64347509468382,29.427403100123904,28.48408382018099,0.5239980468658039,FALSE,,-0.9433192799429122,False,False,False,1.0,1.0,0.8798761267135524
NP_001233888.1,29.774412299214646,30.25886788310646,29.842247812631694,29.97468897553625,29.01365255484449,0.0,28.900607927118912,29.133753651281875,29.01600471108176,29.96255424262226,0.0008577892304373258,TRUE,,0.9465495315405015,False,False,True,0.31995538295312254,0.27391826555870835,0.026662948579426877
NP_001233925.2,31.140128491222285,32.22159946363193,32.3588321598269,32.213388709719524,31.310436183940656,31.878920300279443,31.069132737760217,31.772373002393707,31.507715556093505,31.98348720610016,0.2196985310138712,FALSE,,0.47577165000665644,False,False,False,1.0,1.0,0.6814281265170006
NP_001233951.2,27.14948110806747,27.441340058932987,26.962316692832147,26.467594185580133,26.99915686670604,27.65264007990081,27.854417363113722,27.341984642740005,27.462049738115144,27.005183011353182,0.15059387831497165,FALSE,,-0.4568667267619624,False,False,False,1.0,1.0,0.5249674449671441
NP_001233970.2,31.50109003641839,31.356611338830415,31.790517190313256,32.153623795761796,30.673452259126,30.01874135728349,29.273254791077193,30.94077211666951,30.22655513103905,31.700460590330962,0.020677640527554216,TRUE,,1.4739054592919132,False,False,False,1.0,0.9995876414517604,0.16766869384299396
